Name,Gender,Occurences
Katie,F,626
Mira,F,624
Ari,F,622
Kaitlyn,F,622
Danna,F,620
Cameron,F,619
Kyla,F,619
Bristol,F,618
Kora,F,616
Armani,F,615
Nia,F,615
Malani,F,611
Dylan,F,610
Remy,F,610
Maia,F,609
Dior,F,605
Legacy,F,604
Alessia,F,601
Shelby,F,599
Maryam,F,598
Sylvia,F,596
Yaretzi,F,596
Lorelei,F,594
Madilynn,F,592
Abby,F,591
Helena,F,590
Jimena,F,589
Elisa,F,587
Renata,F,587
Amber,F,584
Aviana,F,584
Carter,F,583
Emmy,F,583
Haley,F,581
Alondra,F,580
Elaine,F,579
Erin,F,578
April,F,577
Emely,F,574
Imani,F,574
Kennedi,F,574
Lorelai,F,568
Hanna,F,566
Kelsey,F,566
Aurelia,F,565
Colette,F,565
Jaliyah,F,564
Kylee,F,560
Macie,F,560
Aisha,F,559
Dorothy,F,559
Charley,F,558
Kathryn,F,558
Adelina,F,554
Adley,F,554
Monroe,F,554
Sierra,F,553
Ailani,F,550
Miranda,F,549
Mikayla,F,548
Alejandra,F,546
Amirah,F,546
Jada,F,546
Jazlyn,F,543
Jenna,F,542
Jayleen,F,540
Beatrice,F,535
Kendra,F,534
Lyra,F,534
Nola,F,533
Emberly,F,532
Mckinley,F,532
Myra,F,532
Katalina,F,525
Antonella,F,524
Zelda,F,524
Alanna,F,520
Amaia,F,520
Priscilla,F,518
Briar,F,517
Kaliyah,F,517
Itzel,F,516
Oaklyn,F,516
Alma,F,515
Mallory,F,515
Novah,F,513
Amalia,F,510
Fernanda,F,509
Alia,F,506
Angelica,F,506
Elliot,F,506
Justice,F,505
Mae,F,504
Cecelia,F,503
Gloria,F,502
Ariya,F,501
Virginia,F,501
Cheyenne,F,500
Aleah,F,497
Jemma,F,497
Henley,F,496
Meredith,F,496
Leyla,F,493
Lennox,F,491
Ensley,F,490
Zahra,F,489
Reina,F,488
Frankie,F,487
Lylah,F,487
Nalani,F,486
Reyna,F,486
Saige,F,484
Ivanna,F,483
Aleena,F,482
Emerie,F,481
Ivory,F,481
Leslie,F,481
Alora,F,479
Ashlyn,F,479
Bethany,F,478
Bonnie,F,476
Sasha,F,476
Xiomara,F,475
Salem,F,474
Adrianna,F,473
Dayana,F,473
Clementine,F,472
Karina,F,472
Karsyn,F,472
Emmie,F,471
Julie,F,471
Julieta,F,471
Briana,F,470
Carly,F,469
Macy,F,469
Marie,F,468
Oaklee,F,467
Christina,F,466
Malaysia,F,465
Ellis,F,463
Irene,F,462
Anne,F,461
Anahi,F,460
Mara,F,460
Rhea,F,459
Davina,F,458
Dallas,F,457
Jayda,F,455
Mariam,F,455
Skyla,F,454
Siena,F,453
Elora,F,452
Marilyn,F,452
Jazmin,F,451
Megan,F,451
Rosa,F,450
Savanna,F,450
Allyson,F,449
Milan,F,449
Coraline,F,446
Johanna,F,446
Melany,F,446
Chelsea,F,444
Michaela,F,443
Melina,F,442
Angie,F,441
Cassandra,F,439
Yara,F,439
Kassidy,F,437
Liberty,F,436
Lilian,F,436
Avah,F,435
Anya,F,434
Laney,F,434
Navy,F,433
Opal,F,433
Amani,F,432
Zaylee,F,432
Mina,F,431
Sloan,F,431
Romina,F,428
Ashlynn,F,427
Aliza,F,426
Liv,F,426
Malaya,F,426
Blaire,F,423
Janelle,F,422
Kara,F,422
Analia,F,419
Hadassah,F,419
Hayley,F,419
Karla,F,418
Chaya,F,416
Cadence,F,415
Kyra,F,414
Alena,F,413
Ellianna,F,413
Katelyn,F,413
Kimber,F,413
Laurel,F,413
Lina,F,413
Capri,F,411
Braelyn,F,410
Faye,F,409
Kamiyah,F,409
Kenna,F,408
Louise,F,408
Calliope,F,404
Kaydence,F,402
Nala,F,402
Tiana,F,402
Aileen,F,401
Sunny,F,401
Zariyah,F,401
Milana,F,400
Giuliana,F,399
Eileen,F,398
Elodie,F,398
Rayna,F,396
Monica,F,395
Galilea,F,394
Journi,F,394
Lara,F,394
Marina,F,394
Aliana,F,393
Harmoni,F,391
Jamie,F,390
Holland,F,389
